event_date,name,category
2019-01-01,Christmas vacation,Vacation
2019-01-02,Christmas vacation,Vacation
2019-01-03,Christmas vacation,Vacation
2019-01-04,Christmas vacation,Vacation
2018-02-12,Spring vacation,Vacation
2018-02-13,Spring vacation,Vacation
2018-02-14,Spring vacation,Vacation
2018-02-15,Spring vacation,Vacation
2018-02-16,Spring vacation,Vacation
2018-02-17,Spring vacation,Vacation
2018-02-18,Spring vacation,Vacation
2018-10-15,Autumn vacation,Vacation
2018-10-16,Autumn vacation,Vacation
2018-10-17,Autumn vacation,Vacation
2018-10-18,Autumn vacation,Vacation
2018-10-19,Autumn vacation,Vacation
2018-10-20,Autumn vacation,Vacation
2018-10-21,Autumn vacation,Vacation
2018-04-23,May vacation,Vacation
2018-04-24,May vacation,Vacation
2018-04-25,May vacation,Vacation
2018-04-26,May vacation,Vacation
2018-04-27,May vacation,Vacation
2018-04-28,May vacation,Vacation
2018-04-29,May vacation,Vacation
2019-07-15,Summer vacation,Vacation
2019-07-16,Summer vacation,Vacation
2019-07-17,Summer vacation,Vacation
2019-07-18,Summer vacation,Vacation
2019-07-19,Summer vacation,Vacation
2019-07-20,Summer vacation,Vacation
2019-07-21,Summer vacation,Vacation
2019-07-22,Summer vacation,Vacation
2019-07-23,Summer vacation,Vacation
2019-07-24,Summer vacation,Vacation
2019-07-25,Summer vacation,Vacation
2019-07-26,Summer vacation,Vacation
2019-07-27,Summer vacation,Vacation
2019-07-28,Summer vacation,Vacation
2019-07-29,Summer vacation,Vacation
2019-07-30,Summer vacation,Vacation
2019-07-31,Summer vacation,Vacation
2019-08-01,Summer vacation,Vacation
2019-08-02,Summer vacation,Vacation
2019-08-03,Summer vacation,Vacation
2019-08-04,Summer vacation,Vacation
2019-08-05,Summer vacation,Vacation
2019-08-06,Summer vacation,Vacation
2019-08-07,Summer vacation,Vacation
2019-08-08,Summer vacation,Vacation
2019-08-09,Summer vacation,Vacation
2019-08-10,Summer vacation,Vacation
2019-08-11,Summer vacation,Vacation
2019-08-12,Summer vacation,Vacation
2019-08-13,Summer vacation,Vacation
2019-08-14,Summer vacation,Vacation
2019-08-15,Summer vacation,Vacation
2019-08-16,Summer vacation,Vacation
2019-08-17,Summer vacation,Vacation
2019-08-18,Summer vacation,Vacation
2019-08-19,Summer vacation,Vacation
2019-08-20,Summer vacation,Vacation
2019-08-21,Summer vacation,Vacation
2019-08-22,Summer vacation,Vacation
2019-08-23,Summer vacation,Vacation
2019-08-24,Summer vacation,Vacation
2019-08-25,Summer vacation,Vacation
2019-12-24,Christmas vacation,Vacation
2019-12-25,Christmas vacation,Vacation
2019-12-26,Christmas vacation,Vacation
2019-12-27,Christmas vacation,Vacation
2019-12-28,Christmas vacation,Vacation
2019-12-29,Christmas vacation,Vacation
2019-12-30,Christmas vacation,Vacation
2019-12-31,Christmas vacation,Vacation
2020-01-01,Christmas vacation,Vacation
2020-01-02,Christmas vacation,Vacation
2020-01-03,Christmas vacation,Vacation
2020-01-04,Christmas vacation,Vacation
2019-02-11,Spring vacation,Vacation
2019-02-12,Spring vacation,Vacation
2019-02-13,Spring vacation,Vacation
2019-02-14,Spring vacation,Vacation
2019-02-15,Spring vacation,Vacation
2019-02-16,Spring vacation,Vacation
2019-02-17,Spring vacation,Vacation
2019-10-14,Autumn vacation,Vacation
2019-10-15,Autumn vacation,Vacation
2019-10-16,Autumn vacation,Vacation
2019-10-17,Autumn vacation,Vacation
2019-10-18,Autumn vacation,Vacation
2019-10-19,Autumn vacation,Vacation
2019-10-20,Autumn vacation,Vacation
2019-04-22,May vacation,Vacation
2019-04-23,May vacation,Vacation
2019-04-24,May vacation,Vacation
2019-04-25,May vacation,Vacation
2019-04-26,May vacation,Vacation
2019-04-27,May vacation,Vacation
2019-04-28,May vacation,Vacation
2020-07-15,Summer vacation,Vacation
2020-07-16,Summer vacation,Vacation
2020-07-17,Summer vacation,Vacation
2020-07-18,Summer vacation,Vacation
2020-07-19,Summer vacation,Vacation
2020-07-20,Summer vacation,Vacation
2020-07-21,Summer vacation,Vacation
2020-07-22,Summer vacation,Vacation
2020-07-23,Summer vacation,Vacation
2020-07-24,Summer vacation,Vacation
2020-07-25,Summer vacation,Vacation
2020-07-26,Summer vacation,Vacation
2020-07-27,Summer vacation,Vacation
2020-07-28,Summer vacation,Vacation
2020-07-29,Summer vacation,Vacation
2020-07-30,Summer vacation,Vacation
2020-07-31,Summer vacation,Vacation
2020-08-01,Summer vacation,Vacation
2020-08-02,Summer vacation,Vacation
2020-08-03,Summer vacation,Vacation
2020-08-04,Summer vacation,Vacation
2020-08-05,Summer vacation,Vacation
2020-08-06,Summer vacation,Vacation
2020-08-07,Summer vacation,Vacation
2020-08-08,Summer vacation,Vacation
2020-08-09,Summer vacation,Vacation
2020-08-10,Summer vacation,Vacation
2020-08-11,Summer vacation,Vacation
2020-08-12,Summer vacation,Vacation
2020-08-13,Summer vacation,Vacation
2020-08-14,Summer vacation,Vacation
2020-08-15,Summer vacation,Vacation
2020-08-16,Summer vacation,Vacation
2020-08-17,Summer vacation,Vacation
2020-08-18,Summer vacation,Vacation
2020-08-19,Summer vacation,Vacation
2020-08-20,Summer vacation,Vacation
2020-08-21,Summer vacation,Vacation
2020-08-22,Summer vacation,Vacation
2020-08-23,Summer vacation,Vacation
2020-08-24,Summer vacation,Vacation
2020-08-25,Summer vacation,Vacation
2020-12-24,Christmas vacation,Vacation
2020-12-25,Christmas vacation,Vacation
2020-12-26,Christmas vacation,Vacation
2020-12-27,Christmas vacation,Vacation
2020-12-28,Christmas vacation,Vacation
2020-12-29,Christmas vacation,Vacation
2020-12-30,Christmas vacation,Vacation
2020-12-31,Christmas vacation,Vacation
2021-01-01,Christmas vacation,Vacation
2021-01-02,Christmas vacation,Vacation
2021-01-03,Christmas vacation,Vacation
2021-01-04,Christmas vacation,Vacation
2020-02-10,Spring vacation,Vacation
2020-02-11,Spring vacation,Vacation
2020-02-12,Spring vacation,Vacation
2020-02-13,Spring vacation,Vacation
2020-02-14,Spring vacation,Vacation
2020-02-15,Spring vacation,Vacation
2020-02-16,Spring vacation,Vacation
2020-10-12,Autumn vacation,Vacation
2020-10-13,Autumn vacation,Vacation
2020-10-14,Autumn vacation,Vacation
2020-10-15,Autumn vacation,Vacation
2020-10-16,Autumn vacation,Vacation
2020-10-17,Autumn vacation,Vacation
2020-10-18,Autumn vacation,Vacation
2020-04-27,May vacation,Vacation
2020-04-28,May vacation,Vacation
2020-04-29,May vacation,Vacation
2020-04-30,May vacation,Vacation
2020-05-01,May vacation,Vacation
2020-05-02,May vacation,Vacation
2020-05-03,May vacation,Vacation
2021-07-15,Summer vacation,Vacation
2021-07-16,Summer vacation,Vacation
2021-07-17,Summer vacation,Vacation
2021-07-18,Summer vacation,Vacation
2021-07-19,Summer vacation,Vacation
2021-07-20,Summer vacation,Vacation
2021-07-21,Summer vacation,Vacation
2021-07-22,Summer vacation,Vacation
2021-07-23,Summer vacation,Vacation
2021-07-24,Summer vacation,Vacation
2021-07-25,Summer vacation,Vacation
2021-07-26,Summer vacation,Vacation
2021-07-27,Summer vacation,Vacation
2021-07-28,Summer vacation,Vacation
2021-07-29,Summer vacation,Vacation
2021-07-30,Summer vacation,Vacation
2021-07-31,Summer vacation,Vacation
2021-08-01,Summer vacation,Vacation
2021-08-02,Summer vacation,Vacation
2021-08-03,Summer vacation,Vacation
2021-08-04,Summer vacation,Vacation
2021-08-05,Summer vacation,Vacation
2021-08-06,Summer vacation,Vacation
2021-08-07,Summer vacation,Vacation
2021-08-08,Summer vacation,Vacation
2021-08-09,Summer vacation,Vacation
2021-08-10,Summer vacation,Vacation
2021-08-11,Summer vacation,Vacation
2021-08-12,Summer vacation,Vacation
2021-08-13,Summer vacation,Vacation
2021-08-14,Summer vacation,Vacation
2021-08-15,Summer vacation,Vacation
2021-08-16,Summer vacation,Vacation
2021-08-17,Summer vacation,Vacation
2021-08-18,Summer vacation,Vacation
2021-08-19,Summer vacation,Vacation
2021-08-20,Summer vacation,Vacation
2021-08-21,Summer vacation,Vacation
2021-08-22,Summer vacation,Vacation
2021-08-23,Summer vacation,Vacation
2021-08-24,Summer vacation,Vacation
2021-08-25,Summer vacation,Vacation
2021-12-24,Christmas vacation,Vacation
2021-12-25,Christmas vacation,Vacation
2021-12-26,Christmas vacation,Vacation
2021-12-27,Christmas vacation,Vacation
2021-12-28,Christmas vacation,Vacation
2021-12-29,Christmas vacation,Vacation
2021-12-30,Christmas vacation,Vacation
2021-12-31,Christmas vacation,Vacation
2022-01-01,Christmas vacation,Vacation
2022-01-02,Christmas vacation,Vacation
2022-01-03,Christmas vacation,Vacation
2022-01-04,Christmas vacation,Vacation
2021-02-15,Spring vacation,Vacation
2021-02-16,Spring vacation,Vacation
2021-02-17,Spring vacation,Vacation
2021-02-18,Spring vacation,Vacation
2021-02-19,Spring vacation,Vacation
2021-02-20,Spring vacation,Vacation
2021-02-21,Spring vacation,Vacation
2021-10-11,Autumn vacation,Vacation
2021-10-12,Autumn vacation,Vacation
2021-10-13,Autumn vacation,Vacation
2021-10-14,Autumn vacation,Vacation
2021-10-15,Autumn vacation,Vacation
2021-10-16,Autumn vacation,Vacation
2021-10-17,Autumn vacation,Vacation
2021-04-26,May vacation,Vacation
2021-04-27,May vacation,Vacation
2021-04-28,May vacation,Vacation
2021-04-29,May vacation,Vacation
2021-04-30,May vacation,Vacation
2021-05-01,May vacation,Vacation
2021-05-02,May vacation,Vacation
2022-07-15,Summer vacation,Vacation
2022-07-16,Summer vacation,Vacation
2022-07-17,Summer vacation,Vacation
2022-07-18,Summer vacation,Vacation
2022-07-19,Summer vacation,Vacation
2022-07-20,Summer vacation,Vacation
2022-07-21,Summer vacation,Vacation
2022-07-22,Summer vacation,Vacation
2022-07-23,Summer vacation,Vacation
2022-07-24,Summer vacation,Vacation
2022-07-25,Summer vacation,Vacation
2022-07-26,Summer vacation,Vacation
2022-07-27,Summer vacation,Vacation
2022-07-28,Summer vacation,Vacation
2022-07-29,Summer vacation,Vacation
2022-07-30,Summer vacation,Vacation
2022-07-31,Summer vacation,Vacation
2022-08-01,Summer vacation,Vacation
2022-08-02,Summer vacation,Vacation
2022-08-03,Summer vacation,Vacation
2022-08-04,Summer vacation,Vacation
2022-08-05,Summer vacation,Vacation
2022-08-06,Summer vacation,Vacation
2022-08-07,Summer vacation,Vacation
2022-08-08,Summer vacation,Vacation
2022-08-09,Summer vacation,Vacation
2022-08-10,Summer vacation,Vacation
2022-08-11,Summer vacation,Vacation
2022-08-12,Summer vacation,Vacation
2022-08-13,Summer vacation,Vacation
2022-08-14,Summer vacation,Vacation
2022-08-15,Summer vacation,Vacation
2022-08-16,Summer vacation,Vacation
2022-08-17,Summer vacation,Vacation
2022-08-18,Summer vacation,Vacation
2022-08-19,Summer vacation,Vacation
2022-08-20,Summer vacation,Vacation
2022-08-21,Summer vacation,Vacation
2022-08-22,Summer vacation,Vacation
2022-08-23,Summer vacation,Vacation
2022-08-24,Summer vacation,Vacation
2022-08-25,Summer vacation,Vacation
2022-12-24,Christmas vacation,Vacation
2022-12-25,Christmas vacation,Vacation
2022-12-26,Christmas vacation,Vacation
2022-12-27,Christmas vacation,Vacation
2022-12-28,Christmas vacation,Vacation
2022-12-29,Christmas vacation,Vacation
2022-12-30,Christmas vacation,Vacation
2022-12-31,Christmas vacation,Vacation
2023-01-01,Christmas vacation,Vacation
2023-01-02,Christmas vacation,Vacation
2023-01-03,Christmas vacation,Vacation
2023-01-04,Christmas vacation,Vacation
2022-02-14,Spring vacation,Vacation
2022-02-15,Spring vacation,Vacation
2022-02-16,Spring vacation,Vacation
2022-02-17,Spring vacation,Vacation
2022-02-18,Spring vacation,Vacation
2022-02-19,Spring vacation,Vacation
2022-02-20,Spring vacation,Vacation
2022-10-10,Autumn vacation,Vacation
2022-10-11,Autumn vacation,Vacation
2022-10-12,Autumn vacation,Vacation
2022-10-13,Autumn vacation,Vacation
2022-10-14,Autumn vacation,Vacation
2022-10-15,Autumn vacation,Vacation
2022-10-16,Autumn vacation,Vacation
2022-04-25,May vacation,Vacation
2022-04-26,May vacation,Vacation
2022-04-27,May vacation,Vacation
2022-04-28,May vacation,Vacation
2022-04-29,May vacation,Vacation
2022-04-30,May vacation,Vacation
2022-05-01,May vacation,Vacation
2023-07-15,Summer vacation,Vacation
2023-07-16,Summer vacation,Vacation
2023-07-17,Summer vacation,Vacation
2023-07-18,Summer vacation,Vacation
2023-07-19,Summer vacation,Vacation
2023-07-20,Summer vacation,Vacation
2023-07-21,Summer vacation,Vacation
2023-07-22,Summer vacation,Vacation
2023-07-23,Summer vacation,Vacation
2023-07-24,Summer vacation,Vacation
2023-07-25,Summer vacation,Vacation
2023-07-26,Summer vacation,Vacation
2023-07-27,Summer vacation,Vacation
2023-07-28,Summer vacation,Vacation
2023-07-29,Summer vacation,Vacation
2023-07-30,Summer vacation,Vacation
2023-07-31,Summer vacation,Vacation
2023-08-01,Summer vacation,Vacation
2023-08-02,Summer vacation,Vacation
2023-08-03,Summer vacation,Vacation
2023-08-04,Summer vacation,Vacation
2023-08-05,Summer vacation,Vacation
2023-08-06,Summer vacation,Vacation
2023-08-07,Summer vacation,Vacation
2023-08-08,Summer vacation,Vacation
2023-08-09,Summer vacation,Vacation
2023-08-10,Summer vacation,Vacation
2023-08-11,Summer vacation,Vacation
2023-08-12,Summer vacation,Vacation
2023-08-13,Summer vacation,Vacation
2023-08-14,Summer vacation,Vacation
2023-08-15,Summer vacation,Vacation
2023-08-16,Summer vacation,Vacation
2023-08-17,Summer vacation,Vacation
2023-08-18,Summer vacation,Vacation
2023-08-19,Summer vacation,Vacation
2023-08-20,Summer vacation,Vacation
2023-08-21,Summer vacation,Vacation
2023-08-22,Summer vacation,Vacation
2023-08-23,Summer vacation,Vacation
2023-08-24,Summer vacation,Vacation
2023-08-25,Summer vacation,Vacation
2023-12-24,Christmas vacation,Vacation
2023-12-25,Christmas vacation,Vacation
2023-12-26,Christmas vacation,Vacation
2023-12-27,Christmas vacation,Vacation
2023-12-28,Christmas vacation,Vacation
2023-12-29,Christmas vacation,Vacation
2023-12-30,Christmas vacation,Vacation
2023-12-31,Christmas vacation,Vacation
2024-01-01,Christmas vacation,Vacation
2024-01-02,Christmas vacation,Vacation
2024-01-03,Christmas vacation,Vacation
2024-01-04,Christmas vacation,Vacation
2023-02-13,Spring vacation,Vacation
2023-02-14,Spring vacation,Vacation
2023-02-15,Spring vacation,Vacation
2023-02-16,Spring vacation,Vacation
2023-02-17,Spring vacation,Vacation
2023-02-18,Spring vacation,Vacation
2023-02-19,Spring vacation,Vacation
2023-10-09,Autumn vacation,Vacation
2023-10-10,Autumn vacation,Vacation
2023-10-11,Autumn vacation,Vacation
2023-10-12,Autumn vacation,Vacation
2023-10-13,Autumn vacation,Vacation
2023-10-14,Autumn vacation,Vacation
2023-10-15,Autumn vacation,Vacation
2023-04-24,May vacation,Vacation
2023-04-25,May vacation,Vacation
2023-04-26,May vacation,Vacation
2023-04-27,May vacation,Vacation
2023-04-28,May vacation,Vacation
2023-04-29,May vacation,Vacation
2023-04-30,May vacation,Vacation
2024-07-15,Summer vacation,Vacation
2024-07-16,Summer vacation,Vacation
2024-07-17,Summer vacation,Vacation
2024-07-18,Summer vacation,Vacation
2024-07-19,Summer vacation,Vacation
2024-07-20,Summer vacation,Vacation
2024-07-21,Summer vacation,Vacation
2024-07-22,Summer vacation,Vacation
2024-07-23,Summer vacation,Vacation
2024-07-24,Summer vacation,Vacation
2024-07-25,Summer vacation,Vacation
2024-07-26,Summer vacation,Vacation
2024-07-27,Summer vacation,Vacation
2024-07-28,Summer vacation,Vacation
2024-07-29,Summer vacation,Vacation
2024-07-30,Summer vacation,Vacation
2024-07-31,Summer vacation,Vacation
2024-08-01,Summer vacation,Vacation
2024-08-02,Summer vacation,Vacation
2024-08-03,Summer vacation,Vacation
2024-08-04,Summer vacation,Vacation
2024-08-05,Summer vacation,Vacation
2024-08-06,Summer vacation,Vacation
2024-08-07,Summer vacation,Vacation
2024-08-08,Summer vacation,Vacation
2024-08-09,Summer vacation,Vacation
2024-08-10,Summer vacation,Vacation
2024-08-11,Summer vacation,Vacation
2024-08-12,Summer vacation,Vacation
2024-08-13,Summer vacation,Vacation
2024-08-14,Summer vacation,Vacation
2024-08-15,Summer vacation,Vacation
2024-08-16,Summer vacation,Vacation
2024-08-17,Summer vacation,Vacation
2024-08-18,Summer vacation,Vacation
2024-08-19,Summer vacation,Vacation
2024-08-20,Summer vacation,Vacation
2024-08-21,Summer vacation,Vacation
2024-08-22,Summer vacation,Vacation
2024-08-23,Summer vacation,Vacation
2024-08-24,Summer vacation,Vacation
2024-08-25,Summer vacation,Vacation
2024-12-24,Christmas vacation,Vacation
2024-12-25,Christmas vacation,Vacation
2024-12-26,Christmas vacation,Vacation
2024-12-27,Christmas vacation,Vacation
2024-12-28,Christmas vacation,Vacation
2024-12-29,Christmas vacation,Vacation
2024-12-30,Christmas vacation,Vacation
2024-12-31,Christmas vacation,Vacation
2025-01-01,Christmas vacation,Vacation
2025-01-02,Christmas vacation,Vacation
2025-01-03,Christmas vacation,Vacation
2025-01-04,Christmas vacation,Vacation
2024-02-12,Spring vacation,Vacation
2024-02-13,Spring vacation,Vacation
2024-02-14,Spring vacation,Vacation
2024-02-15,Spring vacation,Vacation
2024-02-16,Spring vacation,Vacation
2024-02-17,Spring vacation,Vacation
2024-02-18,Spring vacation,Vacation
2024-10-14,Autumn vacation,Vacation
2024-10-15,Autumn vacation,Vacation
2024-10-16,Autumn vacation,Vacation
2024-10-17,Autumn vacation,Vacation
2024-10-18,Autumn vacation,Vacation
2024-10-19,Autumn vacation,Vacation
2024-10-20,Autumn vacation,Vacation
2024-04-22,May vacation,Vacation
2024-04-23,May vacation,Vacation
2024-04-24,May vacation,Vacation
2024-04-25,May vacation,Vacation
2024-04-26,May vacation,Vacation
2024-04-27,May vacation,Vacation
2024-04-28,May vacation,Vacation
2025-07-15,Summer vacation,Vacation
2025-07-16,Summer vacation,Vacation
2025-07-17,Summer vacation,Vacation
2025-07-18,Summer vacation,Vacation
2025-07-19,Summer vacation,Vacation
2025-07-20,Summer vacation,Vacation
2025-07-21,Summer vacation,Vacation
2025-07-22,Summer vacation,Vacation
2025-07-23,Summer vacation,Vacation
2025-07-24,Summer vacation,Vacation
2025-07-25,Summer vacation,Vacation
2025-07-26,Summer vacation,Vacation
2025-07-27,Summer vacation,Vacation
2025-07-28,Summer vacation,Vacation
2025-07-29,Summer vacation,Vacation
2025-07-30,Summer vacation,Vacation
2025-07-31,Summer vacation,Vacation
2025-08-01,Summer vacation,Vacation
2025-08-02,Summer vacation,Vacation
2025-08-03,Summer vacation,Vacation
2025-08-04,Summer vacation,Vacation
2025-08-05,Summer vacation,Vacation
2025-08-06,Summer vacation,Vacation
2025-08-07,Summer vacation,Vacation
2025-08-08,Summer vacation,Vacation
2025-08-09,Summer vacation,Vacation
2025-08-10,Summer vacation,Vacation
2025-08-11,Summer vacation,Vacation
2025-08-12,Summer vacation,Vacation
2025-08-13,Summer vacation,Vacation
2025-08-14,Summer vacation,Vacation
2025-08-15,Summer vacation,Vacation
2025-08-16,Summer vacation,Vacation
2025-08-17,Summer vacation,Vacation
2025-08-18,Summer vacation,Vacation
2025-08-19,Summer vacation,Vacation
2025-08-20,Summer vacation,Vacation
2025-08-21,Summer vacation,Vacation
2025-08-22,Summer vacation,Vacation
2025-08-23,Summer vacation,Vacation
2025-08-24,Summer vacation,Vacation
2025-08-25,Summer vacation,Vacation
2025-12-24,Christmas vacation,Vacation
2025-12-25,Christmas vacation,Vacation
2025-12-26,Christmas vacation,Vacation
2025-12-27,Christmas vacation,Vacation
2025-12-28,Christmas vacation,Vacation
2025-12-29,Christmas vacation,Vacation
2025-12-30,Christmas vacation,Vacation
2025-12-31,Christmas vacation,Vacation
2026-01-01,Christmas vacation,Vacation
2026-01-02,Christmas vacation,Vacation
2026-01-03,Christmas vacation,Vacation
2026-01-04,Christmas vacation,Vacation
2025-02-10,Spring vacation,Vacation
2025-02-11,Spring vacation,Vacation
2025-02-12,Spring vacation,Vacation
2025-02-13,Spring vacation,Vacation
2025-02-14,Spring vacation,Vacation
2025-02-15,Spring vacation,Vacation
2025-02-16,Spring vacation,Vacation
2025-10-13,Autumn vacation,Vacation
2025-10-14,Autumn vacation,Vacation
2025-10-15,Autumn vacation,Vacation
2025-10-16,Autumn vacation,Vacation
2025-10-17,Autumn vacation,Vacation
2025-10-18,Autumn vacation,Vacation
2025-10-19,Autumn vacation,Vacation
2025-04-21,May vacation,Vacation
2025-04-22,May vacation,Vacation
2025-04-23,May vacation,Vacation
2025-04-24,May vacation,Vacation
2025-04-25,May vacation,Vacation
2025-04-26,May vacation,Vacation
2025-04-27,May vacation,Vacation
